deal_id	has_MR	prom_length	price	discount_pct	coupon_duration	featured	limited_supply	revenue	ps	ps_logit	revenue_scaled	ps_quintile	log_revenue
gl-at-country-throwdown	0	3	25	50	61	0	1	8000	0.3053056681248187	-0.8221584732454665	-0.14585576668239794	3	8.987196820661973
gl-at-country-throwdown-1	0	3	19	64	13	0	1	2660	0.25909895578085945	-1.0506570154325754	-0.4405806234495576	2	7.886081401775745
gl-at-first-midwest-bank-amphitheatre	0	3	10	68	61	0	1	4600	0.30235636856855497	-0.8361020656341327	-0.3335082972083048	3	8.433811582477187
gl-at-jones-beach-theater	0	3	32	50	22	1	1	5440	0.3291932490281216	-0.711836132571391	-0.28714708378425724	3	8.601534339849989
gl-at-jones-beach-theater-2	0	3	17	50	16	1	1	5440	0.35341979349647035	-0.6040406860881432	-0.28714708378425724	4	8.601534339849989
gl-at-lmfao-with-far-east-movement-boston	0	2	20	70	5	1	1	5200	0.3778019693234445	-0.49888825169918166	-0.3003931447625566	4	8.556413904569519
gl-at-new-hampshire-speedway	0	3	35	58	17	1	1	1750	0.30603740236897264	-0.8187107407041867	-0.4908052713256092	3	7.4673710669175595
gl-at-rialto-square-theatre-3	0	4	30	50	7	0	1	10500	0.2004336315923385	-1.3835863637738144	-0.007875964825113454	1	9.259130536145614
gl-at-s2bn-entertainment-promoters	0	4	41	40	23	0	1	22140	0.20710899557318593	-1.3424405617092665	0.6345579926224031	2	10.005141206262628
gl-at-toyota-park	0	3	10	52	23	0	1	3500	0.3009304330758661	-0.8428711420908896	-0.39421941002551003	3	8.160518247477505
gl-at-train-your-dragon	0	4	35	40	33	0	1	35000	0.2217190869438651	-1.255676323290566	1.3443260933762746	2	10.46310334047155
gl-at-train-your-dragon-boston	0	4	38	40	9	0	1	20520	0.2032773262544748	-1.3659354696517405	0.5451470810188828	2	9.929155299284705
gl-at-uic-pavilion-2	0	5	36	49	10	0	1	12600	0.1486737762514963	-1.7450409122438644	0.10802706873500552	1	9.441452092939569
gl-at-united-center	0	3	25	58	72	0	1	23500	0.30007669279052707	-0.8469326832915406	0.7096190048327659	3	10.06475570013225
gl-at-yanni-new-york	0	3	64	40	9	1	1	12800	0.27823247309211835	-0.9532461037664541	0.11906545288358827	3	9.457200449907708
gl-auditorium-theatre-batsheva	0	3	15	62	44	0	1	3600	0.2908433705132317	-0.8912915415877888	-0.3887002179512187	3	8.1886891244442
gl-barelycorn-schaumburg	0	2	10	52	4	0	1	800	0.35861895132879823	-0.5813633321299485	-0.5432375960313773	4	6.684611727667927
gl-big-apple-circus-1	0	3	29	52	3	0	1	29000	0.2541576091499484	-1.0765597225165304	1.0131745689187919	2	10.275051108968611
gl-big-apple-circus-2	0	6	27	51	8	0	1	27000	0.11722348252716397	-2.018989854042652	0.9027907274329642	1	10.203592144986466
gl-big-apple-circus-3	0	4	27	51	15	0	1	16200	0.20790809838865562	-1.3375812750769756	0.3067179834094952	2	9.692766521220475
gl-big-hearts-comedy-lowell	0	2	33	49	8	0	1	660	0.3227542109617776	-0.7411431864363635	-0.5509644649353852	3	6.492239835020471
gl-bmcc-tribeca-performing-arts-center	0	3	8	53	6	0	1	240	0.29039705442986946	-0.8934564422643201	-0.574145071647409	3	5.480638923341991
gl-bmop	0	3	19	53	8	0	1	570	0.2727025181588713	-0.9809540608343705	-0.5559317378022475	2	6.345636360828596
gl-boston-university	0	2	10	63	7	0	1	100	0.34116520651317006	-0.6581059737967668	-0.5818719405514169	4	4.605170185988092
gl-brit-floyd	0	3	25	49	40	0	1	3500	0.291494098915631	-0.8881386263504736	-0.39421941002551003	3	8.160518247477505
gl-brockton-rox	0	4	16	50	70	0	1	4320	0.26085758394173963	-1.0415160139360213	-0.3489620350163207	2	8.371010681238156
gl-burlesque-to-broadway	0	3	45	50	19	0	1	450	0.24197574096685437	-1.1418779119384572	-0.5625547682913971	2	6.1092475827643655
gl-butterfiles-uncovered-theatre	0	2	9	53	4	0	1	90	0.3587702529521389	-0.5807055927327737	-0.582423859758846	4	4.499809670330265
gl-bye-bye-liver-chicago	0	3	20	50	5	0	1	10200	0.27362691717852855	-0.9762982086036041	-0.024433541047987593	3	9.230142999272362
gl-cape-cod-melody-tent	0	3	39	49	9	1	1	5850	0.3079293566591124	-0.8098176409901859	-0.2645183962796626	3	8.674196940225903
gl-captivate-marketing-group-1	0	3	54	50	26	1	1	17820	0.2917641540417347	-0.8868313697114923	0.3961288950130155	3	9.788076701024801
gl-carol-fox-associates-inc	0	4	40	50	33	0	1	4800	0.20132823998408542	-1.378013437007902	-0.3224699130597221	1	8.476371196895983
gl-cause-i-love-you	0	3	32	51	4	0	1	960	0.2514514342373401	-1.0908862194046105	-0.5344068887125111	2	6.866933284461882
gl-cbb	0	4	15	57	4	0	1	10650	0.2106873346856652	-1.3207873144956621	0.000402823286323615	2	9.273315171137572
gl-center-for-ballroom-dance	0	3	11	50	5	0	1	2310	0.2892664224573709	-0.8989495039901517	-0.45989779570957745	3	7.745002803515839
gl-central-square-theater	0	4	66	50	349	0	1	5280	0.38008329563056675	-0.4891946934947857	-0.29597779110312344	4	8.571681376700306
gl-charter-one-pavilion	0	3	65	45	99	0	1	24050	0.2704198197342285	-0.9924936338688961	0.7399745612413685	2	10.087890275533907
gl-chicago-cubs	0	3	99	51	8	0	1	99000	0.16075449160823163	-1.6526249796119725	4.876609020922757	1	11.502875129116727
gl-chicago-cubs-rooftops	0	4	99	56	4	0	1	70290	0.11560015297737529	-2.0347719964391175	3.2920489763937026	1	11.16038482016995
gl-chicago-express	0	2	22	50	12	0	1	3300	0.34514186979282213	-0.6404630677759039	-0.4052577941740928	4	8.101677747454572
gl-chicago-philharmonic-orchestra-1	0	3	40	50	9	0	1	1600	0.2434043621266655	-1.1341048447184936	-0.49908405943704626	2	7.3777589082278725
gl-chicago-rush-1	0	3	20	64	15	0	1	2400	0.2588006335727518	-1.0522116288765686	-0.4549305228427152	2	7.783224016336037
gl-chicago-sky-1	0	3	20	55	5	0	1	2600	0.26581098917933615	-1.0159810141807575	-0.44389213869413247	2	7.8632667240095735
gl-chicago-slaughter	0	3	6	54	10	0	1	6000	0.29522828689657343	-0.8701250282173131	-0.25623960816822555	3	8.699514748210191
gl-chicago-white-sox-chicago-1	0	4	36	40	31	0	1	36	0.2190330309884264	-1.271310310871785	-0.5854042234789634	2	3.58351893845611
gl-chicago-white-sox-chicago-2	0	4	36	40	29	0	1	36	0.21783122132494614	-1.2783499979403983	-0.5854042234789634	2	3.58351893845611
gl-chicago-wolves-1	0	4	18	53	3	0	1	9360	0.21109397145468273	-1.3183438151060634	-0.07079475447203518	2	9.144200569471638
gl-chicago-youth-symphony-orchestras	0	3	20	50	12	0	1	600	0.278551245031266	-0.9516593038634582	-0.55427598017996	3	6.396929655216146
